Image Name,Correct Prediction,True Label,Predicted Label,Probabilities
data/validation\cats\cat.1049.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1050.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1051.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1052.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1053.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1054.jpg,False,cat,dog,"['0.18', '0.82']"
data/validation\cats\cat.1055.jpg,True,cat,cat,"['0.75', '0.25']"
data/validation\cats\cat.1056.jpg,True,cat,cat,"['0.75', '0.25']"
data/validation\cats\cat.1057.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1058.jpg,True,cat,cat,"['0.79', '0.21']"
data/validation\cats\cat.1059.jpg,False,cat,dog,"['0.21', '0.79']"
data/validation\cats\cat.1060.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1061.jpg,False,cat,dog,"['0.45', '0.55']"
data/validation\cats\cat.1062.jpg,True,cat,cat,"['0.81', '0.19']"
data/validation\cats\cat.1063.jpg,False,cat,dog,"['0.48', '0.52']"
data/validation\cats\cat.1064.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1065.jpg,True,cat,cat,"['0.77', '0.23']"
data/validation\cats\cat.1066.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1067.jpg,False,cat,dog,"['0.33', '0.67']"
data/validation\cats\cat.1068.jpg,True,cat,cat,"['0.61', '0.39']"
data/validation\cats\cat.1069.jpg,False,cat,dog,"['0.42', '0.58']"
data/validation\cats\cat.1070.jpg,True,cat,cat,"['0.82', '0.18']"
data/validation\cats\cat.1071.jpg,True,cat,cat,"['0.75', '0.25']"
data/validation\cats\cat.1072.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1073.jpg,True,cat,cat,"['0.55', '0.45']"
data/validation\cats\cat.1074.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1075.jpg,False,cat,dog,"['0.01', '0.99']"
data/validation\cats\cat.1076.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1077.jpg,False,cat,dog,"['0.49', '0.51']"
data/validation\cats\cat.1078.jpg,False,cat,dog,"['0.28', '0.72']"
data/validation\cats\cat.1079.jpg,True,cat,cat,"['0.77', '0.23']"
data/validation\cats\cat.1080.jpg,True,cat,cat,"['0.76', '0.24']"
data/validation\cats\cat.1081.jpg,True,cat,cat,"['0.50', '0.50']"
data/validation\cats\cat.1082.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1083.jpg,True,cat,cat,"['0.64', '0.36']"
data/validation\cats\cat.1084.jpg,True,cat,cat,"['0.64', '0.36']"
data/validation\cats\cat.1085.jpg,False,cat,dog,"['0.37', '0.63']"
data/validation\cats\cat.1086.jpg,True,cat,cat,"['0.63', '0.37']"
data/validation\cats\cat.1087.jpg,True,cat,cat,"['0.72', '0.28']"
data/validation\cats\cat.1088.jpg,True,cat,cat,"['0.70', '0.30']"
data/validation\cats\cat.1089.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1090.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1091.jpg,True,cat,cat,"['0.76', '0.24']"
data/validation\cats\cat.1092.jpg,False,cat,dog,"['0.37', '0.63']"
data/validation\cats\cat.1093.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1094.jpg,True,cat,cat,"['0.73', '0.27']"
data/validation\cats\cat.1095.jpg,True,cat,cat,"['0.84', '0.16']"
data/validation\cats\cat.1096.jpg,True,cat,cat,"['0.81', '0.19']"
data/validation\cats\cat.1097.jpg,False,cat,dog,"['0.48', '0.52']"
data/validation\cats\cat.1098.jpg,True,cat,cat,"['0.66', '0.34']"
data/validation\cats\cat.1099.jpg,False,cat,dog,"['0.40', '0.60']"
data/validation\cats\cat.1100.jpg,False,cat,dog,"['0.17', '0.83']"
data/validation\cats\cat.1101.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1102.jpg,False,cat,dog,"['0.40', '0.60']"
data/validation\cats\cat.1103.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1104.jpg,True,cat,cat,"['0.75', '0.25']"
data/validation\cats\cat.1105.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1106.jpg,False,cat,dog,"['0.30', '0.70']"
data/validation\cats\cat.1107.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1108.jpg,True,cat,cat,"['0.77', '0.23']"
data/validation\cats\cat.1109.jpg,False,cat,dog,"['0.04', '0.96']"
data/validation\cats\cat.1110.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1111.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1112.jpg,False,cat,dog,"['0.26', '0.74']"
data/validation\cats\cat.1113.jpg,True,cat,cat,"['0.72', '0.28']"
data/validation\cats\cat.1114.jpg,True,cat,cat,"['0.76', '0.24']"
data/validation\cats\cat.1115.jpg,False,cat,dog,"['0.49', '0.51']"
data/validation\cats\cat.1116.jpg,False,cat,dog,"['0.45', '0.55']"
data/validation\cats\cat.1117.jpg,False,cat,dog,"['0.37', '0.63']"
data/validation\cats\cat.1118.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1119.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1120.jpg,True,cat,cat,"['0.77', '0.23']"
data/validation\cats\cat.1121.jpg,True,cat,cat,"['0.98', '0.02']"
data/validation\cats\cat.1122.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1123.jpg,False,cat,dog,"['0.29', '0.71']"
data/validation\cats\cat.1124.jpg,True,cat,cat,"['0.59', '0.41']"
data/validation\cats\cat.1125.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1126.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1127.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1128.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1129.jpg,False,cat,dog,"['0.41', '0.59']"
data/validation\cats\cat.1130.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1131.jpg,True,cat,cat,"['0.80', '0.20']"
data/validation\cats\cat.1132.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1133.jpg,False,cat,dog,"['0.41', '0.59']"
data/validation\cats\cat.1134.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1135.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1136.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1137.jpg,False,cat,dog,"['0.19', '0.81']"
data/validation\cats\cat.1138.jpg,False,cat,dog,"['0.44', '0.56']"
data/validation\cats\cat.1139.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1140.jpg,False,cat,dog,"['0.44', '0.56']"
data/validation\cats\cat.1141.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1142.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1143.jpg,False,cat,dog,"['0.42', '0.58']"
data/validation\cats\cat.1144.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1145.jpg,False,cat,dog,"['0.44', '0.56']"
data/validation\cats\cat.1146.jpg,False,cat,dog,"['0.19', '0.81']"
data/validation\cats\cat.1147.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1148.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1149.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1150.jpg,False,cat,dog,"['0.48', '0.52']"
data/validation\cats\cat.1151.jpg,True,cat,cat,"['0.63', '0.37']"
data/validation\cats\cat.1152.jpg,True,cat,cat,"['0.72', '0.28']"
data/validation\cats\cat.1153.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1154.jpg,False,cat,dog,"['0.44', '0.56']"
data/validation\cats\cat.1155.jpg,True,cat,cat,"['0.83', '0.17']"
data/validation\cats\cat.1156.jpg,False,cat,dog,"['0.36', '0.64']"
data/validation\cats\cat.1157.jpg,True,cat,cat,"['0.86', '0.14']"
data/validation\cats\cat.1158.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1159.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1160.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1161.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1162.jpg,False,cat,dog,"['0.38', '0.62']"
data/validation\cats\cat.1163.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1164.jpg,False,cat,dog,"['0.28', '0.72']"
data/validation\cats\cat.1165.jpg,False,cat,dog,"['0.48', '0.52']"
data/validation\cats\cat.1166.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1167.jpg,False,cat,dog,"['0.34', '0.66']"
data/validation\cats\cat.1168.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1169.jpg,False,cat,dog,"['0.47', '0.53']"
data/validation\cats\cat.1170.jpg,False,cat,dog,"['0.44', '0.56']"
data/validation\cats\cat.1171.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1172.jpg,False,cat,dog,"['0.31', '0.69']"
data/validation\cats\cat.1173.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1174.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1175.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1176.jpg,True,cat,cat,"['0.72', '0.28']"
data/validation\cats\cat.1177.jpg,False,cat,dog,"['0.36', '0.64']"
data/validation\cats\cat.1178.jpg,False,cat,dog,"['0.41', '0.59']"
data/validation\cats\cat.1179.jpg,True,cat,cat,"['0.72', '0.28']"
data/validation\cats\cat.1180.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1181.jpg,True,cat,cat,"['0.79', '0.21']"
data/validation\cats\cat.1182.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1183.jpg,False,cat,dog,"['0.28', '0.72']"
data/validation\cats\cat.1184.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1185.jpg,True,cat,cat,"['0.52', '0.48']"
data/validation\cats\cat.1186.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1187.jpg,False,cat,dog,"['0.32', '0.68']"
data/validation\cats\cat.1188.jpg,True,cat,cat,"['0.59', '0.41']"
data/validation\cats\cat.1189.jpg,True,cat,cat,"['0.56', '0.44']"
data/validation\cats\cat.1190.jpg,False,cat,dog,"['0.45', '0.55']"
data/validation\cats\cat.1191.jpg,True,cat,cat,"['0.67', '0.33']"
data/validation\cats\cat.1192.jpg,True,cat,cat,"['0.59', '0.41']"
data/validation\cats\cat.1193.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1194.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1195.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1196.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1197.jpg,False,cat,dog,"['0.20', '0.80']"
data/validation\cats\cat.1198.jpg,True,cat,cat,"['0.56', '0.44']"
data/validation\cats\cat.1199.jpg,False,cat,dog,"['0.49', '0.51']"
data/validation\cats\cat.1200.jpg,False,cat,dog,"['0.35', '0.65']"
data/validation\cats\cat.1201.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1202.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1203.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1204.jpg,True,cat,cat,"['0.56', '0.44']"
data/validation\cats\cat.1205.jpg,False,cat,dog,"['0.40', '0.60']"
data/validation\cats\cat.1206.jpg,False,cat,dog,"['0.39', '0.61']"
data/validation\cats\cat.1207.jpg,False,cat,dog,"['0.11', '0.89']"
data/validation\cats\cat.1208.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1209.jpg,True,cat,cat,"['0.76', '0.24']"
data/validation\cats\cat.1210.jpg,False,cat,dog,"['0.31', '0.69']"
data/validation\cats\cat.1211.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1212.jpg,True,cat,cat,"['0.55', '0.45']"
data/validation\cats\cat.1213.jpg,True,cat,cat,"['0.70', '0.30']"
data/validation\cats\cat.1214.jpg,False,cat,dog,"['0.38', '0.62']"
data/validation\cats\cat.1215.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1216.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1217.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1218.jpg,True,cat,cat,"['0.63', '0.37']"
data/validation\cats\cat.1219.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1220.jpg,True,cat,cat,"['0.75', '0.25']"
data/validation\cats\cat.1221.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1222.jpg,True,cat,cat,"['0.70', '0.30']"
data/validation\cats\cat.1223.jpg,True,cat,cat,"['0.67', '0.33']"
data/validation\cats\cat.1224.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1225.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1226.jpg,True,cat,cat,"['0.64', '0.36']"
data/validation\cats\cat.1227.jpg,False,cat,dog,"['0.48', '0.52']"
data/validation\cats\cat.1228.jpg,True,cat,cat,"['0.72', '0.28']"
data/validation\cats\cat.1229.jpg,True,cat,cat,"['0.66', '0.34']"
data/validation\cats\cat.1230.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1231.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1232.jpg,False,cat,dog,"['0.49', '0.51']"
data/validation\cats\cat.1233.jpg,True,cat,cat,"['0.70', '0.30']"
data/validation\cats\cat.1234.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1235.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1236.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1237.jpg,True,cat,cat,"['0.90', '0.10']"
data/validation\cats\cat.1238.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1239.jpg,True,cat,cat,"['0.55', '0.45']"
data/validation\cats\cat.1240.jpg,False,cat,dog,"['0.41', '0.59']"
data/validation\cats\cat.1241.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1242.jpg,False,cat,dog,"['0.35', '0.65']"
data/validation\cats\cat.1243.jpg,True,cat,cat,"['0.62', '0.38']"
data/validation\cats\cat.1244.jpg,False,cat,dog,"['0.41', '0.59']"
data/validation\cats\cat.1245.jpg,False,cat,dog,"['0.49', '0.51']"
data/validation\cats\cat.1246.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1247.jpg,True,cat,cat,"['0.82', '0.18']"
data/validation\cats\cat.1248.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1249.jpg,False,cat,dog,"['0.42', '0.58']"
data/validation\cats\cat.1250.jpg,False,cat,dog,"['0.08', '0.92']"
data/validation\cats\cat.1251.jpg,True,cat,cat,"['0.57', '0.43']"
data/validation\cats\cat.1252.jpg,True,cat,cat,"['0.70', '0.30']"
data/validation\cats\cat.1253.jpg,True,cat,cat,"['0.64', '0.36']"
data/validation\cats\cat.1254.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1255.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1256.jpg,True,cat,cat,"['0.56', '0.44']"
data/validation\cats\cat.1257.jpg,False,cat,dog,"['0.46', '0.54']"
data/validation\cats\cat.1258.jpg,True,cat,cat,"['0.68', '0.32']"
data/validation\cats\cat.1259.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1260.jpg,True,cat,cat,"['0.66', '0.34']"
data/validation\cats\cat.1261.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1262.jpg,False,cat,dog,"['0.31', '0.69']"
data/validation\cats\cat.1263.jpg,True,cat,cat,"['0.65', '0.35']"
data/validation\cats\cat.1264.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1265.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1266.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1267.jpg,True,cat,cat,"['0.71', '0.29']"
data/validation\cats\cat.1268.jpg,True,cat,cat,"['0.81', '0.19']"
data/validation\cats\cat.1269.jpg,False,cat,dog,"['0.39', '0.61']"
data/validation\cats\cat.1270.jpg,True,cat,cat,"['0.51', '0.49']"
data/validation\cats\cat.1271.jpg,False,cat,dog,"['0.49', '0.51']"
data/validation\cats\cat.1272.jpg,False,cat,dog,"['0.40', '0.60']"
data/validation\cats\cat.1273.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1274.jpg,False,cat,dog,"['0.40', '0.60']"
data/validation\cats\cat.1275.jpg,True,cat,cat,"['0.55', '0.45']"
data/validation\cats\cat.1276.jpg,True,cat,cat,"['0.67', '0.33']"
data/validation\cats\cat.1277.jpg,False,cat,dog,"['0.38', '0.62']"
data/validation\cats\cat.1278.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1279.jpg,True,cat,cat,"['0.50', '0.50']"
data/validation\cats\cat.1280.jpg,False,cat,dog,"['0.28', '0.72']"
data/validation\cats\cat.1281.jpg,True,cat,cat,"['0.58', '0.42']"
data/validation\cats\cat.1282.jpg,True,cat,cat,"['0.63', '0.37']"
data/validation\cats\cat.1283.jpg,True,cat,cat,"['0.73', '0.27']"
data/validation\cats\cat.1284.jpg,True,cat,cat,"['0.80', '0.20']"
data/validation\cats\cat.1285.jpg,False,cat,dog,"['0.30', '0.70']"
data/validation\cats\cat.1286.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1287.jpg,False,cat,dog,"['0.37', '0.63']"
data/validation\cats\cat.1288.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1289.jpg,True,cat,cat,"['0.69', '0.31']"
data/validation\cats\cat.1290.jpg,False,cat,dog,"['0.43', '0.57']"
data/validation\cats\cat.1291.jpg,True,cat,cat,"['0.63', '0.37']"
data/validation\cats\cat.1292.jpg,True,cat,cat,"['0.54', '0.46']"
data/validation\cats\cat.1293.jpg,True,cat,cat,"['0.53', '0.47']"
data/validation\cats\cat.1294.jpg,True,cat,cat,"['0.81', '0.19']"
data/validation\cats\cat.1295.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1296.jpg,False,cat,dog,"['0.45', '0.55']"
data/validation\cats\cat.1297.jpg,False,cat,dog,"['0.31', '0.69']"
data/validation\cats\cat.1298.jpg,True,cat,cat,"['0.60', '0.40']"
data/validation\cats\cat.1299.jpg,False,cat,dog,"['0.33', '0.67']"
data/validation\dogs\dog.1000.jpg,False,dog,cat,"['0.51', '0.49']"
data/validation\dogs\dog.1001.jpg,True,dog,dog,"['0.24', '0.76']"
data/validation\dogs\dog.1002.jpg,True,dog,dog,"['0.31', '0.69']"
data/validation\dogs\dog.1003.jpg,True,dog,dog,"['0.38', '0.62']"
data/validation\dogs\dog.1004.jpg,True,dog,dog,"['0.16', '0.84']"
data/validation\dogs\dog.1005.jpg,True,dog,dog,"['0.16', '0.84']"
data/validation\dogs\dog.1006.jpg,False,dog,cat,"['0.51', '0.49']"
data/validation\dogs\dog.1007.jpg,True,dog,dog,"['0.40', '0.60']"
data/validation\dogs\dog.1008.jpg,True,dog,dog,"['0.44', '0.56']"
data/validation\dogs\dog.1009.jpg,False,dog,cat,"['0.75', '0.25']"
data/validation\dogs\dog.1010.jpg,True,dog,dog,"['0.01', '0.99']"
data/validation\dogs\dog.1011.jpg,False,dog,cat,"['0.56', '0.44']"
data/validation\dogs\dog.1012.jpg,False,dog,cat,"['0.54', '0.46']"
data/validation\dogs\dog.1013.jpg,True,dog,dog,"['0.37', '0.63']"
data/validation\dogs\dog.1014.jpg,True,dog,dog,"['0.29', '0.71']"
data/validation\dogs\dog.1015.jpg,True,dog,dog,"['0.47', '0.53']"
data/validation\dogs\dog.1016.jpg,True,dog,dog,"['0.33', '0.67']"
data/validation\dogs\dog.1017.jpg,False,dog,cat,"['0.66', '0.34']"
data/validation\dogs\dog.1018.jpg,True,dog,dog,"['0.40', '0.60']"
data/validation\dogs\dog.1019.jpg,True,dog,dog,"['0.34', '0.66']"
data/validation\dogs\dog.1020.jpg,True,dog,dog,"['0.16', '0.84']"
data/validation\dogs\dog.1021.jpg,False,dog,cat,"['0.65', '0.35']"
data/validation\dogs\dog.1022.jpg,True,dog,dog,"['0.45', '0.55']"
data/validation\dogs\dog.1023.jpg,True,dog,dog,"['0.41', '0.59']"
data/validation\dogs\dog.1024.jpg,True,dog,dog,"['0.47', '0.53']"
data/validation\dogs\dog.1025.jpg,True,dog,dog,"['0.47', '0.53']"
data/validation\dogs\dog.1026.jpg,True,dog,dog,"['0.31', '0.69']"
data/validation\dogs\dog.1027.jpg,True,dog,dog,"['0.46', '0.54']"
data/validation\dogs\dog.1028.jpg,True,dog,dog,"['0.33', '0.67']"
data/validation\dogs\dog.1029.jpg,False,dog,cat,"['0.56', '0.44']"
data/validation\dogs\dog.1030.jpg,False,dog,cat,"['0.70', '0.30']"
data/validation\dogs\dog.1031.jpg,True,dog,dog,"['0.47', '0.53']"
data/validation\dogs\dog.1032.jpg,True,dog,dog,"['0.28', '0.72']"
data/validation\dogs\dog.1033.jpg,True,dog,dog,"['0.41', '0.59']"
data/validation\dogs\dog.1034.jpg,False,dog,cat,"['0.62', '0.38']"
data/validation\dogs\dog.1035.jpg,True,dog,dog,"['0.01', '0.99']"
data/validation\dogs\dog.1036.jpg,False,dog,cat,"['0.75', '0.25']"
data/validation\dogs\dog.1037.jpg,True,dog,dog,"['0.45', '0.55']"
data/validation\dogs\dog.1038.jpg,True,dog,dog,"['0.25', '0.75']"
data/validation\dogs\dog.1039.jpg,False,dog,cat,"['0.70', '0.30']"
data/validation\dogs\dog.1040.jpg,False,dog,cat,"['0.54', '0.46']"
data/validation\dogs\dog.1041.jpg,True,dog,dog,"['0.42', '0.58']"
data/validation\dogs\dog.1042.jpg,True,dog,dog,"['0.14', '0.86']"
data/validation\dogs\dog.1043.jpg,False,dog,cat,"['0.72', '0.28']"
data/validation\dogs\dog.1044.jpg,True,dog,dog,"['0.45', '0.55']"
data/validation\dogs\dog.1045.jpg,True,dog,dog,"['0.38', '0.62']"
data/validation\dogs\dog.1046.jpg,False,dog,cat,"['0.72', '0.28']"
data/validation\dogs\dog.1047.jpg,False,dog,cat,"['0.79', '0.21']"
data/validation\dogs\dog.1048.jpg,False,dog,cat,"['0.54', '0.46']"
data/validation\dogs\dog.1049.jpg,True,dog,dog,"['0.49', '0.51']"
data/validation\dogs\dog.1050.jpg,True,dog,dog,"['0.42', '0.58']"
data/validation\dogs\dog.1051.jpg,True,dog,dog,"['0.26', '0.74']"
data/validation\dogs\dog.1052.jpg,True,dog,dog,"['0.36', '0.64']"
data/validation\dogs\dog.1053.jpg,True,dog,dog,"['0.35', '0.65']"
data/validation\dogs\dog.1054.jpg,False,dog,cat,"['0.52', '0.48']"
data/validation\dogs\dog.1055.jpg,True,dog,dog,"['0.33', '0.67']"
